file_path,language,extension,loc,size_bytes
examples/javascript/js_example/templates/jquery.html,HTML,.html,27,666
examples/javascript/js_example/templates/xhr.html,HTML,.html,29,933
examples/javascript/tests/conftest.py,Python,.py,15,216
examples/javascript/tests/test_js_example.py,Python,.py,27,727
examples/tutorial/LICENSE.txt,Unknown,.txt,28,1475
examples/tutorial/README.rst,ReStructuredText,.rst,68,1273
examples/tutorial/pyproject.toml,TOML,.toml,45,873
examples/tutorial/flaskr/__init__.py,Python,.py,48,1406
examples/tutorial/flaskr/auth.py,Python,.py,116,3296
examples/tutorial/flaskr/blog.py,Python,.py,125,3305
examples/tutorial/flaskr/db.py,Python,.py,56,1317
examples/tutorial/flaskr/schema.sql,Unknown,.sql,20,498
examples/tutorial/flaskr/static/style.css,CSS,.css,134,1696
examples/tutorial/flaskr/templates/base.html,HTML,.html,24,752
examples/tutorial/flaskr/templates/auth/login.html,HTML,.html,15,424
examples/tutorial/flaskr/templates/auth/register.html,HTML,.html,15,428
examples/tutorial/flaskr/templates/blog/create.html,HTML,.html,15,447
examples/tutorial/flaskr/templates/blog/index.html,HTML,.html,28,790
examples/tutorial/flaskr/templates/blog/update.html,HTML,.html,19,690
examples/tutorial/tests/conftest.py,Python,.py,62,1454
examples/tutorial/tests/data.sql,Unknown,.sql,8,394
examples/tutorial/tests/test_auth.py,Python,.py,69,2070
examples/tutorial/tests/test_blog.py,Python,.py,83,2503
examples/tutorial/tests/test_db.py,Python,.py,29,616
examples/tutorial/tests/test_factory.py,Python,.py,12,298
src/flask/__init__.py,Python,.py,39,2072
src/flask/__main__.py,Python,.py,3,30
src/flask/app.py,Python,.py,1628,65472
src/flask/blueprints.py,Python,.py,128,4541
src/flask/cli.py,Python,.py,1127,36836
src/flask/config.py,Python,.py,367,13219
src/flask/ctx.py,Python,.py,540,18261
src/flask/debughelpers.py,Python,.py,179,6070
src/flask/globals.py,Python,.py,77,2414
src/flask/helpers.py,Python,.py,682,24628
src/flask/logging.py,Python,.py,79,2377
src/flask/py.typed,Unknown,.typed,0,0
src/flask/sessions.py,Python,.py,385,14969
src/flask/signals.py,Python,.py,17,750
src/flask/templating.py,Python,.py,212,7336
src/flask/testing.py,Python,.py,298,10134
src/flask/typing.py,Python,.py,87,3114
src/flask/views.py,Python,.py,191,6971
src/flask/wrappers.py,Python,.py,257,9406
src/flask/json/__init__.py,Python,.py,170,5583
src/flask/json/provider.py,Python,.py,215,7644
src/flask/json/tag.py,Python,.py,327,9281
src/flask/sansio/README.md,Markdown,.md,6,229
src/flask/sansio/app.py,Python,.py,1013,39495
src/flask/sansio/blueprints.py,Python,.py,692,27017
src/flask/sansio/scaffold.py,Python,.py,800,30633
tests/conftest.py,Python,.py,112,2546
tests/test_appctx.py,Python,.py,265,6827
tests/test_async.py,Python,.py,145,3335
tests/test_basic.py,Python,.py,1974,54273
tests/test_blueprints.py,Python,.py,1115,31287
tests/test_cli.py,Python,.py,703,20303
tests/test_config.py,Python,.py,250,7748
tests/test_converters.py,Python,.py,42,1093
tests/test_helpers.py,Python,.py,377,11218
tests/test_instance_config.py,Python,.py,111,3317
tests/test_json.py,Python,.py,346,8741
tests/test_json_tag.py,Python,.py,86,1998
tests/test_logging.py,Python,.py,98,2529
tests/test_regression.py,Python,.py,30,712
tests/test_reqctx.py,Python,.py,249,6696
tests/test_request.py,Python,.py,70,1902
tests/test_session_interface.py,Python,.py,28,784
tests/test_signals.py,Python,.py,181,4864
tests/test_subclassing.py,Python,.py,21,480
tests/test_templating.py,Python,.py,532,15403
tests/test_testing.py,Python,.py,398,10563
tests/test_user_error_handler.py,Python,.py,295,8436
tests/test_views.py,Python,.py,271,7058
tests/static/config.json,JSON,.json,4,54
tests/static/config.toml,TOML,.toml,2,35
tests/static/index.html,HTML,.html,1,22
tests/templates/_macro.html,HTML,.html,1,55
tests/templates/context_template.html,HTML,.html,1,36
tests/templates/escaping_template.html,HTML,.html,6,147
tests/templates/mail.txt,Unknown,.txt,1,14
tests/templates/non_escaping_template.txt,Unknown,.txt,8,169
tests/templates/simple_template.html,HTML,.html,1,23
tests/templates/template_filter.html,HTML,.html,1,26
tests/templates/template_test.html,HTML,.html,3,51
tests/templates/nested/nested.txt,Unknown,.txt,1,11
tests/test_apps/blueprintapp/__init__.py,Python,.py,9,256
tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0
tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,20,366
tests/test_apps/blueprintapp/apps/admin/static/test.txt,Unknown,.txt,1,11
tests/test_apps/blueprintapp/apps/admin/static/css/test.css,CSS,.css,1,18
tests/test_apps/blueprintapp/apps/admin/templates/admin/index.html,HTML,.html,1,21
tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,14,327
tests/test_apps/blueprintapp/apps/frontend/templates/frontend/index.html,HTML,.html,1,24
tests/test_apps/cliapp/__init__.py,Python,.py,0,0
tests/test_apps/cliapp/app.py,Python,.py,3,52
tests/test_apps/cliapp/factory.py,Python,.py,13,169
tests/test_apps/cliapp/importerrorapp.py,Python,.py,5,73
tests/test_apps/cliapp/message.txt,Unknown,.txt,1,38
tests/test_apps/cliapp/multiapp.py,Python,.py,4,67
tests/test_apps/cliapp/inner1/__init__.py,Python,.py,3,55
tests/test_apps/cliapp/inner1/inner2/__init__.py,Python,.py,0,0
tests/test_apps/cliapp/inner1/inner2/flask.py,Python,.py,3,47
tests/test_apps/helloworld/hello.py,Python,.py,8,104
tests/test_apps/helloworld/wsgi.py,Python,.py,1,36
tests/test_apps/subdomaintestmodule/__init__.py,Python,.py,3,73
tests/test_apps/subdomaintestmodule/static/hello.txt,Unknown,.txt,1,16
tests/type_check/typing_app_decorators.py,Python,.py,32,589
tests/type_check/typing_error_handler.py,Python,.py,33,647
tests/type_check/typing_route.py,Python,.py,112,2532
